テキストID	原文	顔グラ情報	仮翻訳	翻訳
Map002/events/1/name	"EV001"		EV001
Map002/events/3/name	"EV003"		EV003
Map002/events/3/pages/0/list/list/0/message/noPicture/bottom	"I'm already late for the launch, I can't go out now!"	["",0,0,2]	もう打ち上げに遅れてしまった、もう出かけられない！
Map002/events/5/pages/0/list/list/0/message/noPicture/bottom	"I'm already late for the launch, I can't go out now!"	["",0,0,2]	もう打ち上げに遅れてしまった、もう出かけられない！
Map002/events/5/name	"EV005"		EV005
Map002/events/6/name	"EV006"		EV006
Map002/events/2/name	"Plant Top"		プラントトップ
Map002/events/7/name	"Headset"		ヘッドセット
Map002/events/7/pages/0/list/list/0/message/hasPicture/bottom	"Oh that's right. I was using it in the
living room...Fun how I've conveniently
forgotten what I was using it for."	["Original Player Face",6,0,2]	ああ、そうです。居間で使っていた...何に使っていたのか都合よく忘れてしまった楽しみ。
Map002/events/7/pages/0/list/list/5/message/hasPicture/bottom	"\}VR porn isn't weird.\.\.\^"	["Original Player Face",2,1,2]	\}VR ポルノはおかしくない.\.\.\^
Map002/events/7/pages/0/list/list/7/message/hasPicture/bottom	"Anyway, I'd better start loading
the game!"	["Original Player Face",1,0,2]	とにかく、ゲームのロードを開始したほうがいいです！
Map002/events/4/name	"Counter Top"		カウンタートップ
